,Overall,cl3_1,cl3_2,cl3_3,cl4_1,cl4_2,cl4_3,cl4_4,cl5_1,cl5_2,cl5_3,cl5_4,cl5_5,cl6_1,cl6_2,cl6_3,cl6_4,cl6_5,cl6_6,cl7_1,cl7_2,cl7_3,cl7_4,cl7_5,cl7_6,cl7_7,cl8_1,cl8_2,cl8_3,cl8_4,cl8_5,cl8_6,cl8_7,cl8_8
size,8950,5019,2057,1874,4727,1983,1789,451,4511,434,477,1822,1706,2918,396,1822,1706,1636,472,1625,396,1695,394,2875,1577,388,2368,1684,1700,669,384,1607,247,291
size_ratio,1,0.561,0.23,0.209,0.528,0.222,0.2,0.05,0.504,0.048,0.053,0.204,0.191,0.326,0.044,0.204,0.191,0.183,0.053,0.182,0.044,0.189,0.044,0.321,0.176,0.043,0.265,0.188,0.19,0.075,0.043,0.18,0.028,0.033
BALANCE_FREQUENCY,0.878,0.892,0.883,0.837,0.897,0.901,0.847,0.711,0.893,0.706,0.97,0.895,0.841,0.952,0.693,0.895,0.841,0.785,0.97,0.784,0.952,0.84,0.693,0.952,0.886,0.973,0.959,0.89,0.838,0.888,0.974,0.79,0.612,0.951
CASH_ADVANCE_FREQUENCY,0.134,0.081,0.272,0.124,0.082,0.276,0.126,0.078,0.058,0.067,0.606,0.245,0.101,0.058,0.07,0.245,0.101,0.058,0.607,0.056,0.538,0.099,0.07,0.052,0.207,0.575,0.056,0.223,0.098,0.038,0.578,0.055,0.083,0.566
CASH_ADVANCE_TRX,3.079,1.922,6.125,2.836,1.961,6.193,2.892,1.851,1.104,1.371,21.191,4.681,1.963,1.098,1.449,4.681,1.963,1.131,21.299,1.064,16.258,1.879,1.449,0.939,3.499,19.124,1.028,3.929,1.868,0.701,19.224,1.053,1.818,18.357
INSTALLMENTS_PURCHASES,384.498,685.024,1.518,0,632.14,1.575,0,997.808,631.41,994.301,338.459,0,0,838.046,951.211,0,0,280.203,340.571,279.39,0,0,956.039,839.599,0,507.023,774.015,0,0,1166.096,507.443,272.549,791.223,0
LIMIT_USAGE,0.386,0.314,0.566,0.381,0.328,0.585,0.396,0.076,0.313,0.072,0.616,0.583,0.384,0.314,0.073,0.583,0.384,0.307,0.616,0.305,0.62,0.383,0.074,0.309,0.575,0.617,0.353,0.581,0.382,0.103,0.616,0.308,0.067,0.598
MONTHLY_AVG_CASH_ADVANCE,84.921,49.963,177.991,76.388,50.531,176.418,76.34,77.102,33.984,68.74,403.545,155.007,59.788,33.769,74.117,155.007,59.788,35.551,401.641,33.389,340.869,57.567,73.807,29.387,132.747,387.421,32.136,140.936,57.69,27.198,388.571,31.31,96.072,367.989
MONTHLY_AVG_PURCHASE,80.556,118.411,0.259,67.311,105.074,0.269,60.112,257.693,104.178,256.587,75.955,0,60.635,139.618,253.992,0,60.635,44.892,76.497,44.906,0,60.71,255.281,138.904,0,116.426,122.796,0,60.677,229.907,115.937,44.266,233.135,0
ONEOFF_PURCHASES_FREQUENCY,0.202,0.241,0.001,0.32,0.224,0.001,0.314,0.415,0.22,0.412,0.202,0,0.316,0.297,0.398,0,0.316,0.091,0.204,0.091,0,0.316,0.4,0.296,0,0.301,0.256,0,0.314,0.484,0.298,0.092,0.331,0
PAYMENT_MINPAYMENT,5.283,5.734,4.275,5.179,4.151,2.911,3.736,33.701,4.211,34.034,4.244,2.795,3.749,5.01,35.328,2.795,3.749,3.16,4.262,3.157,3.463,3.74,35.379,5.039,2.848,3.92,3.176,2.809,3.831,16.34,3.937,2.884,41.513,4.062
PRC_FULL_PAYMENT,0.154,0.218,0.044,0.102,0.199,0.03,0.086,0.486,0.208,0.486,0.046,0.029,0.088,0.237,0.484,0.029,0.088,0.161,0.048,0.162,0.039,0.088,0.486,0.241,0.029,0.042,0.201,0.028,0.089,0.445,0.041,0.163,0.444,0.05
PURCHASES_FREQUENCY,0.49,0.754,0.002,0.32,0.748,0.002,0.314,0.631,0.749,0.629,0.407,0,0.317,0.937,0.603,0,0.317,0.417,0.408,0.417,0,0.317,0.606,0.937,0,0.618,0.943,0,0.315,0.882,0.614,0.42,0.479,0
PURCHASES_INSTALLMENTS_FREQUENCY,0.365,0.65,0.001,0,0.644,0.001,0,0.474,0.647,0.47,0.292,0,0,0.827,0.436,0,0,0.329,0.293,0.329,0,0,0.438,0.828,0,0.451,0.842,0,0,0.721,0.445,0.332,0.328,0
PURCHASES_TRX,14.151,22.638,0.052,6.898,21.119,0.054,6.567,33.199,20.937,32.958,13.911,0.002,6.605,28.737,31.152,0.002,6.605,7.677,14.052,7.666,0.003,6.606,31.31,28.633,0.001,21.501,27.167,0.002,6.542,36.463,21.177,7.688,25.578,0
PURCHASE_TYPE_NONE,23%,0%,99%,0%,0%,99%,0%,16%,0%,16%,31%,100%,0%,0%,18%,100%,0%,0%,32%,0%,100%,0%,18%,0%,100%,0%,0%,100%,0%,0%,0%,0%,27%,100%
PURCHASE_TYPE_ONEOFF_INSTALLMENT,31%,55%,0%,0%,54%,0%,0%,49%,53%,48%,39%,0%,0%,59%,45%,0%,0%,43%,39%,43%,0%,0%,45%,58%,0%,58%,54%,0%,0%,76%,57%,43%,33%,0%
PURCHASE_TYPE_ONE_OFF,21%,0%,0%,100%,0%,0%,100%,19%,0%,19%,18%,0%,100%,0%,21%,0%,100%,0%,18%,0%,0%,100%,21%,0%,0%,25%,0%,0%,100%,2%,25%,0%,25%,0%
