,BALANCE_FREQUENCY,INSTALLMENTS_PURCHASES,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,PRC_FULL_PAYMENT,MONTHLY_AVG_PURCHASE,MONTHLY_AVG_CASH_ADVANCE,LIMIT_USAGE,PAYMENT_MINPAYMENT
Non_null,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8950.0,8949.0,8637.0
Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,313.0
Sum,7852.960000000001,3679055.42,4387.44,1809.48,3262.7500000000005,1207.4499999999998,29077.0,131653.0,1374.13,771267.49,796352.98,3480.41,80756.53
Median,1.0,89.0,0.5,0.08,0.17,0.0,0.0,7.0,0.0,31.935000000000002,0.0,0.3,2.17
Mean,0.8774256983240153,411.06764469273713,0.4902167597765341,0.2021765363128463,0.3645530726256994,0.1349106145251403,3.2488268156424582,14.709832402234637,0.15353407821229043,86.17513854748604,88.97798659217872,0.38891608000894884,9.350067152946632
Std_Dev,0.23716904308819065,904.3381151753365,0.40167797834679236,0.29855516811646116,0.39762303058825293,0.20026205830903307,6.824646744165706,24.85764910988557,0.29264823586494776,180.50879233649954,193.13613145692756,0.389760664669676,120.28688440836672
CV,0.27030099932246227,2.1999739625610935,0.8193885058721733,1.4767053267471126,1.0907136997210491,1.484405500737784,2.100649597973762,1.6898662357369438,1.906080000430297,2.094673653898819,2.1706057740117988,1.0021716372866551,12.864815026537947
Variance,0.05624915499936803,817827.4265588801,0.1613451982887662,0.08913518840904837,0.15810407445418673,0.040104891998170564,46.575803182651576,617.902719270195,0.08564298995486609,32583.424110781514,37301.56527414761,0.15191337572374763,14468.934560671776
Min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
P10,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.61
P25,0.89,0.0,0.08,0.0,0.0,0.0,0.0,1.0,0.0,3.3975,0.0,0.04,0.96
P50,1.0,89.0,0.5,0.08,0.17,0.0,0.0,7.0,0.0,31.935000000000002,0.0,0.3,2.17
P75,1.0,468.63749999999993,0.92,0.3,0.75,0.22,4.0,17.0,0.14,97.22749999999999,99.08749999999999,0.72,6.26
P90,1.0,1140.0700000000002,1.0,0.75,1.0,0.42,10.0,37.0,0.6730000000000109,217.35800000000006,278.0570000000003,0.92,13.334000000000007
P95,1.0,1750.087499999995,1.0,1.0,1.0,0.58,15.0,57.0,1.0,339.2454999999994,425.54999999999984,0.97,21.44
P99,1.0,3886.2405000000003,1.0,1.0,1.0,0.83,29.0,116.51000000000022,1.0,758.6519000000003,896.2334000000003,1.06,50.40559999999969
Max,1.0,22500.0,1.0,1.0,1.0,1.5,123.0,358.0,1.0,4086.63,3928.1,15.91,6840.53
